日期,品类,销售额,销量,单价
2026-01-05,衬衫,8500,85,100
2026-01-12,衬衫,9200,92,100
2026-01-19,衬衫,7800,78,100
2026-01-26,衬衫,10500,105,100
2026-02-02,衬衫,6800,68,100
2026-02-09,衬衫,7500,75,100
2026-01-05,T恤,12000,200,60
2026-01-12,T恤,15000,250,60
2026-01-19,T恤,13800,230,60
2026-01-26,T恤,16200,270,60
2026-02-02,T恤,10800,180,60
2026-02-09,T恤,9000,150,60
2026-01-05,外套,22000,110,200
2026-01-12,外套,19800,99,200
2026-01-19,外套,24000,120,200
2026-01-26,外套,26000,130,200
2026-02-02,外套,18000,90,200
2026-02-09,外套,16000,80,200
2026-01-05,裤子,15000,150,100
2026-01-12,裤子,14000,140,100
2026-01-19,裤子,16500,165,100
2026-01-26,裤子,18000,180,100
2026-02-02,裤子,12000,120,100
2026-02-09,裤子,11000,110,100
