日期,品类,款式,销售额,销量,单价,退货量,渠道
2026-01-05,外套,立领夹克,22000,110,200,5,天猫
2026-01-05,外套,毛呢大衣,35000,100,350,8,天猫
2026-01-05,T恤,纯色圆领,12000,200,60,12,抖音
2026-01-05,T恤,印花短袖,8000,100,80,6,抖音
2026-01-05,裤子,直筒牛仔裤,15000,150,100,8,天猫
2026-01-05,裤子,工装裤,18000,120,150,4,天猫
2026-01-05,衬衫,牛津纺,8500,85,100,3,天猫
2026-01-05,衬衫,亚麻衬衫,6000,50,120,2,抖音
2026-01-12,外套,立领夹克,19800,99,200,6,天猫
2026-01-12,外套,毛呢大衣,28000,80,350,10,天猫
2026-01-12,T恤,纯色圆领,15000,250,60,15,抖音
2026-01-12,T恤,印花短袖,9000,112,80,8,抖音
2026-01-12,裤子,直筒牛仔裤,14000,140,100,7,天猫
2026-01-12,裤子,工装裤,16000,106,150,5,天猫
2026-01-12,衬衫,牛津纺,9200,92,100,4,天猫
2026-01-12,衬衫,亚麻衬衫,5500,46,120,3,抖音
2026-01-19,外套,立领夹克,24000,120,200,4,天猫
2026-01-19,外套,毛呢大衣,38000,108,350,9,天猫
2026-01-19,T恤,纯色圆领,13800,230,60,10,抖音
2026-01-19,T恤,印花短袖,9500,119,80,7,抖音
2026-01-19,裤子,直筒牛仔裤,16500,165,100,6,天猫
2026-01-19,裤子,工装裤,20000,133,150,3,天猫
2026-01-19,衬衫,牛津纺,7800,78,100,5,天猫
2026-01-19,衬衫,亚麻衬衫,7000,58,120,2,抖音
2026-01-26,外套,立领夹克,26000,130,200,3,天猫
2026-01-26,外套,毛呢大衣,42000,120,350,7,天猫
2026-01-26,T恤,纯色圆领,16200,270,60,11,抖音
2026-01-26,T恤,印花短袖,11000,137,80,5,抖音
2026-01-26,裤子,直筒牛仔裤,18000,180,100,9,天猫
2026-01-26,裤子,工装裤,22000,146,150,4,天猫
2026-01-26,衬衫,牛津纺,10500,105,100,6,天猫
2026-01-26,衬衫,亚麻衬衫,8500,71,120,3,抖音
2026-02-02,外套,立领夹克,18000,90,200,7,天猫
2026-02-02,外套,毛呢大衣,22000,63,350,12,天猫
2026-02-02,T恤,纯色圆领,10800,180,60,18,抖音
2026-02-02,T恤,印花短袖,7200,90,80,10,抖音
2026-02-02,裤子,直筒牛仔裤,12000,120,100,10,天猫
2026-02-02,裤子,工装裤,14000,93,150,6,天猫
2026-02-02,衬衫,牛津纺,6800,68,100,8,天猫
2026-02-02,衬衫,亚麻衬衫,4500,37,120,5,抖音
2026-02-09,外套,立领夹克,16000,80,200,8,天猫
2026-02-09,外套,毛呢大衣,18000,51,350,14,天猫
2026-02-09,T恤,纯色圆领,9000,150,60,20,抖音
2026-02-09,T恤,印花短袖,6000,75,80,12,抖音
2026-02-09,裤子,直筒牛仔裤,11000,110,100,11,天猫
2026-02-09,裤子,工装裤,12000,80,150,8,天猫
2026-02-09,衬衫,牛津纺,7500,75,100,7,天猫
2026-02-09,衬衫,亚麻衬衫,3800,32,120,6,抖音
